Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_0,"8,1811E-06","0,064148","0,028491",0,0,0,"1,4573","0,0028441","-6,1635E-07","9,4583E-08","0,0021256","-2,3032E-05","0,0044372",0,0,0,0,0,0,package://era_description/meshes/link_0.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://era_description/meshes/link_0.STL,,Link_0^ERA_Assembly-1,Sistema de coordenadas 0 y 1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"1,4751E-06","8,8702E-05","0,1103",0,0,0,"4,9252","0,0070331","-3,8633E-07","-3,054E-07","0,0097895","7,2357E-06","0,0085832",0,0,0,0,0,0,package://era_description/meshes/link_1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://era_description/meshes/link_1.STL,,Link_1^ERA_Assembly-1,Sistema de coordenadas 0 y 1,Eje1,joint_1,revolute,0,0,0,0,0,0,link_0,0,0,1,"7,1537","0,2188","-3,1416","3,1416",,,0,0,,,,
link_2,"-1,2948E-05","-0,094414","0,0093196",0,0,0,"2,9774","0,0062534","7,0718E-06","1,2358E-05","0,0039574","-3,5071E-05","0,0057159",0,0,0,0,0,0,package://era_description/meshes/link_2.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://era_description/meshes/link_2.STL,,Link_2^ERA_Assembly-1,Sistema de coordenadas2,Eje2,joint_2,revolute,0,0,"0,18918","-1,5708",0,"-1,5708",link_1,0,0,1,"86,211","0,1163","-1,5708","1,5708",,,0,0,,,,
link_3,"-0,00037089","0,21175","-0,0022929",0,0,0,"1,4008","0,0041861","2,726E-05","9,3379E-06","0,00049492","-0,00018761","0,0042431",0,0,0,0,0,0,package://era_description/meshes/link_3.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://era_description/meshes/link_3.STL,,Link_3^ERA_Assembly-1,Sistema de coordenadas3,Eje3,joint_3,revolute,"0,00012374","-0,25568","0,00149",0,0,"-1,5708",link_2,0,0,1,"24,654","0,0635","-3,927","0,7854",,,0,0,,,,
link_4,"-7,0469E-06","-0,0073794","0,4189",0,0,0,"0,34675","0,0001352","3,0244E-08","-7,1861E-08","0,0001737","1,6894E-05","0,00010582",0,0,0,0,0,0,package://era_description/meshes/link_4.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://era_description/meshes/link_4.STL,,Link_4^ERA_Assembly-1,Sistema de coordenadas4,Eje4,joint_4,revolute,0,0,0,"-1,5708",0,0,link_3,0,0,1,"15,93","0,0982","-3,1416","3,1416",,,0,0,,,,
link_5,"0,0606472275187821","9,21812568499547E-08","-0,00174871909358244",0,0,0,"0,155635640889723","0,00017520277960928","-3,98455352347032E-07","-9,07655924949397E-06","0,000134532482619006","1,05209048124804E-08","0,00010461221367687",0,0,0,0,0,0,package://era_description/meshes/link_5.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://era_description/meshes/link_5.STL,,Link_5^ERA_Assembly-1,Sistema de coordenadas5,Eje5,joint_5,revolute,0,0,"0,4284","-1,5708",0,"-3,1416",link_4,0,0,1,"3,5","7,48","-3,1416",0,,,0,0,,,,
link_6_1,"8,8999E-07","-0,028749","0,015149",0,0,0,"0,019387","1,6008E-05","2,8705E-09","-1,7551E-09","1,1841E-05","2,6004E-06","2,5312E-05",0,0,0,0,0,0,package://era_description/meshes/link_6_1.STL,1,1,1,1,0,0,0,0,0,0,package://era_description/meshes/link_6_1.STL,,Rail Rider^ERA_Assembly-1,Sistema de coordenadas6_1,Eje6,joint_6_1,prismatic,"0,16115",0,0,0,0,"-1,5708",link_5,0,0,1,"218,75","0,1197",0,"0,016",,,0,0,,,,
link_6_2,"4,2572E-06","-0,0288","0,013728",0,0,0,"0,019424","1,6036E-05","-5,7669E-10","2,141E-09","1,1905E-05","2,5998E-06","2,5404E-05",0,0,0,0,0,0,package://era_description/meshes/link_6_2.STL,1,1,1,1,0,0,0,0,0,0,package://era_description/meshes/link_6_2.STL,,Rail Rider (Right)^ERA_Assembly-1,Sistema de coordenadas6_2,Eje6,joint_6_2,prismatic,"0,16115",0,0,"-3,1416",0,"1,5708",link_5,0,0,1,"218,75","0,1197",0,"0,016",,,0,0,,,,
