theta,d,a,alpha,tipo,min,max,dqmax,ddqmax
0,5.7,3.15,90,r,-160,160,84,84
90,2.5,8.5,0,r,-70,70,52,52
-90,-2.5,0,0,r,-75,115,52,52
90,0,1.42,90,r,-180,180,245,245
0,12.6,0,-90,r,-125,125,223,223
-90,0,1.7,0,r,-360,360,223,223
