Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_0,"8,1811E-06","0,064148","0,028491",0,0,0,"1,4573","0,0028441","-6,1635E-07","9,4583E-08","0,0021256","-2,3032E-05","0,0044372",0,0,0,0,0,0,package://ERA/meshes/link_0.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ERA/meshes/link_0.STL,,Link_0^ERA_Assembly-1,Sistema de coordenadas0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"-8,8702E-05","0,078879","1,4751E-06",0,0,0,"4,9252","0,0097895","7,2357E-06","3,8633E-07","0,0085832","3,054E-07","0,0070331",0,0,0,0,0,0,package://ERA/meshes/link_1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ERA/meshes/link_1.STL,,Link_1^ERA_Assembly-1,Sistema de coordenadas1,Eje1,joint_1,revolute,0,0,"0,189175","-1,5707963267949",0,"-1,57079632679489",link_0,0,-1,0,"7,1537","0,2188","-2,3562","2,3562",,,0,0,,,,
link_2,"-0,161262686422663","-0,000136692294061287","0,00782963077501265",0,0,0,"2,9773709327159","0,00395741063536684","-7,0717706514214E-06","3,50706079497188E-05","0,00625338013677875","1,23578595324686E-05","0,00571589927544615",0,0,0,0,0,0,package://ERA/meshes/link_2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://ERA/meshes/link_2.STL,,Link_2^ERA_Assembly-1,Sistema de coordenadas2,Eje2,joint_2,revolute,"0,000123744699244387","-0,25567672725","0,00148999999984069",0,0,"-1,5707963267949",link_1,0,0,1,"86,211","0,1163","-1,5708","1,5708",,,0,0,,,,
link_3,"-0,000370885475026561","0,00229294620635992","0,21175082194751",0,0,0,"1,40082730035319","0,00418608582348626","-9,33789806278587E-06","2,72602723246538E-05","0,00424310951501921","0,000187610491595618","0,000494915913062191",0,0,0,0,0,0,package://ERA/meshes/link_3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://ERA/meshes/link_3.STL,,Link_3^ERA_Assembly-1,Sistema de coordenadas3,Eje3,joint_3,revolute,0,0,0,"-1,5707963267949",0,0,link_2,0,1,0,"24,654","0,0635","-3,927","0,7854",,,0,0,,,,
link_4,"7,04690138053632E-06","0,00950257370630442","0,00737940778529239",0,0,0,"0,346752223723456","0,000135202143666052","-7,18609035495795E-08","3,02444532301698E-08","0,00010581833342793","1,68938256287117E-05","0,000173704607483614",0,0,0,0,0,0,package://ERA/meshes/link_4.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://ERA/meshes/link_4.STL,,Link_4^ERA_Assembly-1,Sistema de coordenadas4,Eje4,joint_4,revolute,0,0,"0,428399999999979","-1,57079632679491",0,"-3,1415926535893",link_3,0,-1,0,"15,93","0,0982","-2,3562","2,3562",,,0,0,,,,
link_5,"-1,3738E-06","-0,10051","-0,0017487",0,0,0,"0,15564","0,00013453","3,9846E-07","-1,0521E-08","0,0001752","-9,0766E-06","0,00010461",0,0,0,0,0,0,package://ERA/meshes/link_5.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ERA/meshes/link_5.STL,,Link_5^ERA_Assembly-1,Sistema de coordenadas5,Eje5,joint_5,revolute,"0,16115",0,0,0,0,"-1,5708",link_4,0,0,-1,"3,5","7,48","-3,927","0,7854",,,0,0,,,,
link_6_1,"8,8999E-07","-0,028749","0,015149",0,0,0,"0,019387","1,6008E-05","2,8705E-09","-1,7551E-09","1,1841E-05","2,6004E-06","2,5312E-05",0,0,0,0,0,0,package://ERA/meshes/link_6_1.STL,1,1,1,1,0,0,0,0,0,0,package://ERA/meshes/link_6_1.STL,,Rail Rider^ERA_Assembly-1,Sistema de coordenadas5,Eje6,joint_6_1,prismatic,0,0,0,0,0,0,link_5,0,0,-1,"218,75","0,016",0,"0,32",,,0,0,,,,
link_6_2,"4,2572E-06","-0,0288","0,013728",0,0,0,"0,019424","1,6036E-05","-5,7669E-10","2,141E-09","1,1905E-05","2,5998E-06","2,5404E-05",0,0,0,0,0,0,package://ERA/meshes/link_6_2.STL,1,1,1,1,0,0,0,0,0,0,package://ERA/meshes/link_6_2.STL,,Rail Rider (Right)^ERA_Assembly-1,Sistema de coordenadas6,Eje6,joint_6_2,prismatic,0,0,0,"3,1416",0,"3,1416",link_5,0,0,1,"218,75","0,016",0,"0,05",,,,,,,,
